date,description,type
01-02,元日 振替休日,holiday
01-03,元日 振替休日,holiday
01-04,元日 振替休日,holiday
01-05,元日 振替休日,holiday
08-13,お盆休み,holiday
08-14,お盆休み,holiday
08-15,お盆休み,holiday
08-16,お盆休み,holiday
12-30,年末休暇,holiday
12-31,年末休暇,holiday

2025-01-11,土曜出勤,workday
2025-01-13,土曜出勤,workday
2025-02-01,土曜出勤,workday
2025-02-08,土曜出勤,workday
2025-02-15,土曜出勤,workday
2025-02-22,土曜出勤,workday
2025-03-01,土曜出勤,workday
2025-03-15,土曜出勤,workday
2025-03-22,土曜出勤,workday
2025-03-29,土曜出勤,workday
2025-07-19,土曜出勤,workday
2025-07-26,土曜出勤,workday
2025-08-09,土曜出勤,workday
2025-09-13,土曜出勤,workday
2025-10-11,土曜出勤,workday
2025-12-28,土曜出勤,workday